House Direction,Balcony Direction,Bedrooms,Toilets,Legits,Furnitures,Floors,Facade,Entrance,City,District,Ward,Street,Area,Price,X,Y
Tây - Bắc,Đông - Nam,2.0,1.0,Sổ đỏ/ Sổ hồng,,,,,Hà Nội,Hoàng Mai,Phường Hoàng Liệt,Đường Bằng A,45.0,1450.0,20.966384,105.8377568
,,4.0,4.0,Sổ đỏ/ Sổ hồng,,4.0,4.6,4,Hà Nội,Thanh Xuân,Phường Khương Trung,Đường Hoàng Văn Thái,40.0,8500.0,20.9892133,105.809648
,,2.0,,,,,,,Hà Nội,Thanh Xuân,Phường Thanh Xuân Trung,Đường Nguyễn Tuân,72.0,3050.0,20.9955213,105.8044695
Tây - Bắc,,,,,,,,,Hà Nội.,Đông Anh,Xã Mai Lâm,Đường Mai Hiên,51.0,2150.0,21.0907003,105.8898289
,,3.0,2.0,,Full,,,,Hà Nội,Nam Từ Liêm,Phường Mỹ Đình 2,Phố Trần Bình,84.0,3200.0,21.0274134,105.7833341
,Đông - Nam,2.0,2.0,Sổ đỏ,,,,,Hà Nội,Hà Đông,Phường Yết Kiêu,Đường Quang Trung,95.0,3000.0,20.974619,105.779051
,,,,,,,,,Hà Nội,Hà Đông,Phường Kiến Hưng,Đường Mậu Lương,50.0,5700.0,20.9598832,105.7880872
,Đông - Nam,2.0,2.0,Sổ đỏ/ Sổ hồng,Full nội thất.,,,,Hà Nội,Nam Từ Liêm,Phường Mỹ Đình 2,Đường Phạm Hùng,70.0,2400.0,21.0274134,105.7833341
,,4.0,5.0,Sổ đỏ/ Sổ hồng,,5.0,5.0,50,Hà Nội,Cầu Giấy,Phường Mai Dịch,Đường Hồ Tùng Mậu,60.0,21900.0,21.0358867,105.7785908
,,2.0,2.0,,Cơ bản,,,,Hà Nội,Bắc Từ Liêm,Phường Cổ Nhuế 1,Đường Phạm Văn Đồng,63.0,2700.0,21.0451915,105.7861662
,,4.0,5.0,Sổ đỏ/ Sổ hồng,,5.0,4.5,12,Hà Nội,Đống Đa,Phường Láng Hạ,Đường Huỳnh Thúc Kháng,55.0,14500.0,21.0166748,105.8104708
Tây,Tây,,,Sổ đỏ chính chủ.,Cơ bản.,,4.6,,Hà Nội.,Hoàn Kiếm,Phường Cửa Đông,Phố Phùng Hưng,74.0,14500.0,21.0325618,105.8454043
,,,,Sổ đỏ đẹp,,5.0,11.5,,Hà Nội,Đống Đa,Phường Ô Chợ Dừa,Phố Xã Đàn,448.0,278000.0,21.021334,105.8243089
,,,,Sổ đỏ vuông đẹp,Đầy đủ ,3.0,4.6,,Hà Nội,Đống Đa,Phường Láng Hạ,Phố Láng Hạ,46.0,22000.0,21.0166748,105.8104708
,,3.0,4.0,Sổ đỏ/ Sổ hồng,Nôi thất đầy đủ,4.0,,,Hà Nội,Đống Đa,Phường Trung Liệt,Phố Thái Hà,46.0,5750.0,21.0110935,105.8213374
